City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Alyangula,AU,82.65,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
12,Butaritari,KI,81.39,few clouds,3.0707,172.7902,Isles Sunset Lodge
17,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
18,Kutum,SD,75.36,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
20,Tondon,GN,76.84,overcast clouds,10.3667,-13.35,
21,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Rumonge,BI,76.98,scattered clouds,-3.9736,29.4386,Kwetu Guest House
28,Hithadhoo,MV,81.82,light rain,-0.6,73.0833,Scoop Guest House
31,Atuona,PF,76.12,few clouds,-9.8,-139.0333,Villa Enata
33,Agutaya,PH,79.72,overcast clouds,11.148,120.9417,
40,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,Castro,BR,77.18,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
53,Derac,HT,81.07,light rain,19.65,-71.8167,Le Marien Hotels & Resorts
54,Bima,ID,75.02,overcast clouds,-8.4667,118.7167,Lambitu Hotel
59,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
66,Santarem,BR,89.73,clear sky,-2.4431,-54.7083,Hotel Imperador
69,Georgetown,MY,78.24,few clouds,5.4112,100.3354,Cititel Penang
74,Aborlan,PH,77.9,moderate rain,9.4352,118.5492,Kevina Transient House
80,Dolores,AR,79.0,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
81,Kinablangan,PH,78.44,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
82,Sonoita,MX,77.07,clear sky,31.85,-112.8333,Hotel internacional
83,Namatanai,PG,80.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
90,Diu,IN,75.9,clear sky,20.7141,70.9822,Hotel Relax Inn
92,Pandamatenga,BW,77.29,few clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
97,Orocue,CO,88.57,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
99,San Patricio,US,82.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
102,General Pico,AR,80.4,light rain,-35.6566,-63.7568,Euskadi Hotel
115,Oussouye,SN,84.29,overcast clouds,12.485,-16.5469,Auberge du Routard
117,Bosaso,SO,79.32,clear sky,11.2842,49.1816,Red Sea Hotel
118,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
125,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
131,Isangel,VU,78.3,clear sky,-19.55,169.2667,Tanna Lodge
138,Caravelas,BR,78.4,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
140,Labuhan,ID,75.4,overcast clouds,-6.8844,112.2051,DoubleFAG
141,Hilo,US,81.63,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
142,Ormara,PK,78.49,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
147,Bonthe,SL,78.94,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
148,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
151,Sola,VU,81.27,clear sky,-13.8833,167.55,Leumerus Bungalows
152,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
155,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
156,Sao Francisco De Paula,BR,75.04,clear sky,-29.4481,-50.5836,Hotel Village da Serra
157,Faanui,PF,79.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Conakry,GN,81.77,light rain,9.538,-13.6773,Riviera Royal Hotel
164,Hambantota,LK,78.04,broken clouds,6.1241,81.1185,Bungalow 63
166,Puerto Leguizamo,CO,81.55,overcast clouds,-0.1934,-74.7819,la casona de juancho
175,San Policarpo,PH,80.28,moderate rain,12.1791,125.5072,Agapita M. Nicart
