City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,54.57,45,100,1.9,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,76.96,92,63,10.0,broken clouds
2,Chingola,ZM,-12.529,27.8838,73.38,33,36,4.92,scattered clouds
3,Jamestown,US,42.097,-79.2353,57.06,39,0,6.91,clear sky
4,Lasa,IT,46.6166,10.7002,56.28,66,19,2.26,few clouds
5,Mataura,NZ,-46.1927,168.8643,58.21,93,70,2.73,broken clouds
6,Alyangula,AU,-13.8483,136.4192,82.65,71,15,6.51,few clouds
7,Geraldton,AU,-28.7667,114.6,64.81,82,75,14.97,broken clouds
8,Port Elizabeth,ZA,-33.918,25.5701,63.1,72,100,18.41,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,46.02,65,75,33.38,broken clouds
10,Busselton,AU,-33.65,115.3333,52.74,71,100,12.8,light rain
11,Hermanus,ZA,-34.4187,19.2345,63.81,79,84,15.79,broken clouds
12,Butaritari,KI,3.0707,172.7902,81.39,72,14,21.12,few clouds
13,Te Anau,NZ,-45.4167,167.7167,55.47,98,100,3.31,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,60.62,82,98,15.41,overcast clouds
15,Fortuna,US,40.5982,-124.1573,63.36,55,0,4.61,clear sky
16,Yeppoon,AU,-23.1333,150.7333,73.18,75,0,5.68,clear sky
17,Kahului,US,20.8947,-156.47,84.22,66,20,11.5,few clouds
18,Kutum,SD,14.2,24.6667,75.36,20,22,12.91,few clouds
19,Half Moon Bay,US,37.4636,-122.4286,69.1,64,75,4.61,broken clouds
20,Tondon,GN,10.3667,-13.35,76.84,88,100,1.9,overcast clouds
21,Vaini,TO,-21.2,-175.2,75.36,88,75,13.8,broken clouds
22,Kasongo-Lunda,CD,-6.4667,16.8167,72.52,93,76,1.9,broken clouds
23,East London,ZA,-33.0153,27.9116,63.37,75,100,17.69,overcast clouds
24,Lidkoping,SE,58.5052,13.1577,55.42,96,100,9.89,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,73.45,77,100,9.8,overcast clouds
26,Chokurdakh,RU,70.6333,147.9167,-7.2,98,97,7.61,overcast clouds
27,Rumonge,BI,-3.9736,29.4386,76.98,65,46,1.66,scattered clouds
28,Hithadhoo,MV,-0.6,73.0833,81.82,79,100,19.51,light rain
29,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,79,75,14.97,broken clouds
30,Luderitz,NA,-26.6481,15.1594,60.53,81,0,11.61,clear sky
31,Atuona,PF,-9.8,-139.0333,76.12,79,16,18.99,few clouds
32,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,40,3.44,light rain
33,Agutaya,PH,11.148,120.9417,79.72,91,100,32.39,overcast clouds
34,Pritzwalk,DE,53.1494,12.1741,61.59,74,100,9.53,overcast clouds
35,Bluff,NZ,-46.6,168.3333,55.83,92,25,6.51,scattered clouds
36,Nanortalik,GL,60.1432,-45.2371,40.78,95,100,18.14,moderate rain
37,Lebu,CL,-37.6167,-73.65,55.33,99,100,8.61,overcast clouds
38,Opuwo,NA,-18.0607,13.84,79.34,27,85,8.75,overcast clouds
39,Slave Lake,CA,55.2834,-114.769,49.98,32,0,23.02,clear sky
40,Cabo San Lucas,MX,22.8909,-109.9124,89.62,64,0,11.5,clear sky
41,Thunder Bay,CA,48.4001,-89.3168,58.98,47,20,19.57,few clouds
42,Kodiak,US,57.79,-152.4072,33.31,51,0,0.0,clear sky
43,Bengkulu,ID,-3.8004,102.2655,73.49,91,100,3.87,overcast clouds
44,Grand Gaube,MU,-20.0064,57.6608,74.37,73,73,4.0,broken clouds
45,Tuatapere,NZ,-46.1333,167.6833,56.7,94,47,5.17,scattered clouds
46,Castro,BR,-24.7911,-50.0119,77.18,60,51,6.49,broken clouds
47,Qaqortoq,GL,60.7167,-46.0333,37.24,99,100,7.34,moderate rain
48,Togur,RU,58.3631,82.8265,25.36,93,100,13.53,light snow
49,Qaanaaq,GL,77.484,-69.3632,-2.07,76,21,7.94,few clouds
50,Fort Nelson,CA,58.8053,-122.7002,24.39,86,75,3.44,broken clouds
51,Cidreira,BR,-30.1811,-50.2056,71.82,71,0,9.55,clear sky
52,Aykhal,RU,66.0,111.5,-2.81,95,66,6.64,broken clouds
53,Derac,HT,19.65,-71.8167,81.07,74,83,8.1,light rain
54,Bima,ID,-8.4667,118.7167,75.02,87,100,5.08,overcast clouds
55,Yellowknife,CA,62.456,-114.3525,21.72,86,75,6.91,light snow
56,Bela,IN,25.9333,81.9833,69.33,60,0,3.31,clear sky
57,Hobart,AU,-42.8794,147.3294,50.25,86,100,8.25,light rain
58,Dikson,RU,73.5069,80.5464,21.13,92,100,4.79,overcast clouds
59,Cayenne,GF,4.9333,-52.3333,89.64,62,40,11.5,scattered clouds
60,Upernavik,GL,72.7868,-56.1549,21.88,71,100,23.82,overcast clouds
61,Punta Arenas,CL,-53.15,-70.9167,44.71,61,75,31.07,broken clouds
62,Tiksi,RU,71.6872,128.8694,7.29,92,100,11.45,overcast clouds
63,Banjar,ID,-8.19,114.9675,72.34,88,63,7.78,broken clouds
64,New Norfolk,AU,-42.7826,147.0587,49.91,83,100,1.01,light rain
65,Kawalu,ID,-7.3817,108.2082,67.95,98,53,1.19,broken clouds
66,Santarem,BR,-2.4431,-54.7083,89.73,58,0,16.11,clear sky
67,Khatanga,RU,71.9667,102.5,-2.54,91,100,4.45,overcast clouds
68,Mahebourg,MU,-20.4081,57.7,74.25,78,40,3.44,scattered clouds
69,Georgetown,MY,5.4112,100.3354,78.24,95,20,0.0,few clouds
70,Nome,US,64.5011,-165.4064,15.87,79,0,3.44,clear sky
71,Jiuquan,CN,39.7432,98.5174,44.67,42,89,1.28,overcast clouds
72,Nadym,RU,65.5333,72.5167,17.4,91,11,14.23,few clouds
73,Namibe,AO,-15.1961,12.1522,69.75,81,52,1.54,broken clouds
74,Aborlan,PH,9.4352,118.5492,77.9,91,100,7.67,moderate rain
75,Fairbanks,US,64.8378,-147.7164,8.82,83,100,3.44,overcast clouds
76,Crossville,US,35.949,-85.0269,69.93,43,0,4.61,clear sky
77,Airai,TL,-8.9266,125.4092,61.0,90,100,0.36,overcast clouds
78,Kaitangata,NZ,-46.2817,169.8464,58.03,93,86,4.25,overcast clouds
79,Narsaq,GL,60.9167,-46.05,34.02,100,100,4.76,snow
80,Dolores,AR,-36.3132,-57.6792,79.0,32,100,8.21,light rain
81,Kinablangan,PH,7.6947,126.5503,78.44,82,100,7.34,overcast clouds
82,Sonoita,MX,31.85,-112.8333,77.07,12,0,3.51,clear sky
83,Namatanai,PG,-3.6667,152.4333,80.1,82,100,5.79,overcast clouds
84,Barrow,US,71.2906,-156.7887,17.62,79,100,6.91,overcast clouds
85,Kamaishi,JP,39.2667,141.8833,53.28,79,52,5.44,broken clouds
86,Elizabeth City,US,36.2946,-76.2511,67.01,78,100,21.85,overcast clouds
87,Cape Town,ZA,-33.9258,18.4232,67.26,67,0,11.5,clear sky
88,Constitucion,CL,-35.3333,-72.4167,60.62,74,88,7.11,overcast clouds
89,Weiser,US,44.251,-116.9693,48.4,52,100,5.19,overcast clouds
90,Diu,IN,20.7141,70.9822,75.9,51,0,8.43,clear sky
91,Charters Towers,AU,-20.1,146.2667,73.96,36,46,8.21,scattered clouds
92,Pandamatenga,BW,-18.5278,25.627,77.29,39,18,1.79,few clouds
93,Puerto El Triunfo,SV,13.2833,-88.55,94.12,65,10,8.77,clear sky
94,Thompson,CA,55.7435,-97.8558,46.56,57,20,17.27,few clouds
95,Guara,BR,-20.4283,-47.8242,90.36,31,87,5.5,overcast clouds
96,Codrington,AU,-38.2667,141.9667,48.7,89,93,9.6,overcast clouds
97,Orocue,CO,4.7912,-71.3354,88.57,60,81,6.67,broken clouds
98,Ostrovnoy,RU,68.0531,39.5131,35.13,96,98,21.18,overcast clouds
99,San Patricio,US,28.017,-97.5169,82.29,28,99,17.74,overcast clouds
100,Bambanglipuro,ID,-7.95,110.2833,74.01,79,96,2.48,overcast clouds
101,Trelew,AR,-43.249,-65.3051,63.41,18,100,29.77,overcast clouds
102,General Pico,AR,-35.6566,-63.7568,80.4,24,100,7.74,light rain
103,Marystown,CA,47.1666,-55.1483,48.96,47,0,17.63,clear sky
104,Taltal,CL,-25.4,-70.4833,63.46,65,22,7.52,few clouds
105,Kichera,RU,55.9375,110.0997,26.55,56,98,5.21,overcast clouds
106,Sitka,US,57.0531,-135.33,39.09,87,75,6.91,moderate rain
107,Goulburn,AU,-34.75,149.7167,46.15,84,99,18.41,overcast clouds
108,Murud,IN,18.3258,72.965,73.4,63,0,5.23,clear sky
109,Sorland,NO,67.667,12.6934,46.26,86,100,16.17,overcast clouds
110,Yulara,AU,-25.2406,130.9889,64.24,100,75,8.05,broken clouds
111,Sepolno Krajenskie,PL,53.452,17.5317,58.48,82,81,8.88,broken clouds
112,La Ronge,CA,55.1001,-105.2842,53.85,28,40,18.41,scattered clouds
113,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,61,0,23.02,clear sky
114,Souillac,MU,-20.5167,57.5167,73.78,78,40,3.44,scattered clouds
115,Oussouye,SN,12.485,-16.5469,84.29,70,93,6.6,overcast clouds
116,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,16,9.95,few clouds
117,Bosaso,SO,11.2842,49.1816,79.32,75,4,3.51,clear sky
118,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,4.61,scattered clouds
119,San Jose,US,37.3394,-121.895,69.85,42,100,1.99,overcast clouds
120,Berdigestyakh,RU,62.0989,126.6992,17.04,93,100,7.52,overcast clouds
121,Lagoa,PT,39.05,-27.9833,62.53,61,19,12.91,light rain
122,Klaksvik,FO,62.2266,-6.589,50.92,92,100,22.3,light rain
123,Luena,AO,-11.7833,19.9167,64.74,92,98,7.49,overcast clouds
124,Darnah,LY,32.767,22.6367,68.81,65,0,19.89,clear sky
125,Katherine,AU,-14.4667,132.2667,82.72,61,58,3.44,broken clouds
126,Sacramento,US,38.4666,-121.3177,74.95,37,0,5.75,clear sky
127,Ponta Do Sol,PT,32.6667,-17.1,73.71,83,8,6.44,clear sky
128,Teknaf,BD,20.8624,92.3058,73.69,83,12,6.44,few clouds
129,Nagato,JP,34.3833,131.2,59.77,76,57,17.92,broken clouds
